Construct_Name,Source,Definition_Text,Paper_Count,Reference_URLs
People's Republic,OpenAlex,"People's republic is an official title that is mostly used by current and former communist states, as well as other left-wing governments. It is mainly associated with soviet republics, communist states that self-designate as people's democratic states, sovereign states with a democratic-republican constitution that usually mentions socialism, as well as some countries that do not fit into any of these categories.",5,"https://doi.org/10.1037/0021-9010.77.5.664,https://doi.org/10.1037/0021-9010.83.4.515,https://doi.org/10.1111/j.2044-8325.1994.tb00551.x"
Physical capital,OpenAlex,Physical capital represents in economics one of the three primary factors of production. Physical capital is the apparatus used to produce a good and services.,5,"https://doi.org/10.1037/a0022147,https://doi.org/10.5465/amj.2017.0769,https://doi.org/10.1177/0149206313517265"
Polytomous Rasch model,OpenAlex,The polytomous Rasch model is generalization of the dichotomous Rasch model.  It is a measurement model that has potential application in any context in which the objective is to measure a trait or ability through a process in which responses to items are scored with successive integers.,5,"https://doi.org/10.1037/0021-9010.91.6.1292,https://doi.org/10.1037/0021-9010.89.4.687,https://doi.org/10.1016/j.jvb.2012.12.001"
Precarious work,OpenAlex,"Precarious work is a term that critics use to describe non-standard or temporary employment that may be poorly paid, insecure, unprotected, and unable to support a household. From this perspective, globalization, the shift from the manufacturing sector to the service sector, and the spread of information technology have created a new economy which demands flexibility in the workplace, resulting in the decline of the standard employment relationship, particularly for women.",5,"https://doi.org/10.1016/j.jvb.2018.11.004,https://doi.org/10.1016/j.jvb.2020.103491,https://doi.org/10.1016/j.jvb.2020.103481"
Prior probability,OpenAlex,"A prior probability distribution (often simply called the prior probability, prior distribution, or prior) of an uncertain quantity is its assumed probability distribution before evidence is taken into account. For example, the prior could be the probability distribution representing the relative proportions of voters who will vote for a particular politician in a future election.",5,"https://doi.org/10.1177/0149206313501200,https://doi.org/10.1177/0149206315591075,https://doi.org/10.1177/0149206314554215"
Product category,OpenAlex,"In the mathematical field of category theory, the product of two categories C and D, denoted  C × D and called a product category, is an extension of the concept of the Cartesian product of two sets. Product categories are used to define bifunctors and multifunctors.",5,"https://doi.org/10.5465/amj.2015.1221,https://doi.org/10.1002/job.465,https://doi.org/10.5465/amj.2022.0105"
Product differentiation,OpenAlex,"In economics, strategic management and marketing, product differentiation (or simply ""differentiation"") is the process of distinguishing a product or service from others to make it more attractive to a particular target market. This involves differentiating it from competitors' products as well as from a firm's other products.",5,"https://doi.org/10.5465/amj.2017.0412,https://doi.org/10.1177/0149206320987286,https://doi.org/10.1177/014920639001600308"
Product management,OpenAlex,"Product management is the business process of planning, developing, launching, and managing a product or service. It includes the entire lifecycle of a product, from ideation to development to go to market.",5,"https://doi.org/10.1006/jvbe.2000.1765,https://doi.org/10.1177/0149206304272291,https://doi.org/10.1016/j.jvb.2019.103368"
Psychic,OpenAlex,"A psychic is a person who claims to use powers rooted in parapsychology, such as extrasensory perception (ESP), to identify information hidden from the normal senses, particularly involving telepathy or clairvoyance; or who performs acts that are apparently inexplicable by natural laws, such as psychokinesis or teleportation. Although many people believe in psychic abilities, the scientific consensus is that there is no proof of the existence of such powers, and describes the practice as pseudoscience.",5,"https://doi.org/10.1177/014920638501100210,https://doi.org/10.1016/0001-8791(83)90002-7,https://doi.org/10.1348/147608309x418027"
Public accounting,OpenAlex,"An accountant is a practitioner of accounting or accountancy. Accountants who have demonstrated competency through their professional associations' certification exams are certified to use titles such as Chartered Accountant, Chartered Certified Accountant or Certified Public Accountant, or Registered Public Accountant.",5,"https://doi.org/10.1006/jvbe.1996.1578,https://doi.org/10.1016/0001-8791(80)90021-4,https://doi.org/10.1002/(sici)1099-1379(199807)19:4<409::aid-job842>3.0.co;2-6"
Quality management,OpenAlex,"Quality management (QM) ensures that an organization, product, or service consistently performs as intended. It has four main components: quality planning, quality assurance, quality control, and quality improvement.",5,"https://doi.org/10.2307/3069343,https://doi.org/10.5465/3069343,https://doi.org/10.1002/job.401"
Racial group,OpenAlex,"Race is a categorization of humans based on shared physical or social qualities into groups generally viewed as distinct within a given society. The term came into common usage during the 16th century, when it was used to refer to groups of various kinds, including those characterized by close kinship relations.",5,"https://doi.org/10.1037/0021-9010.83.2.179,https://doi.org/10.1037/0021-9010.85.4.597,https://doi.org/10.1016/j.jvb.2009.02.006"
Reactance,OpenAlex,Reactance may refer to:,5,"https://doi.org/10.5465/amj.2017.0181,https://doi.org/10.1037/apl0000388,https://doi.org/10.1037/h0077033"
Reactivity (psychology),OpenAlex,"Reactivity is a phenomenon that occurs when individuals alter their performance or behavior due to the awareness that they are being observed.  The change may be positive or negative, and depends on the situation.",5,"https://doi.org/10.1037/a0031260,https://doi.org/10.1037/h0025539,https://doi.org/10.1037//0021-9010.86.5.954"
Service-orientation,OpenAlex,Service-orientation is a design paradigm for computer software in the form of  services. The principles of service-oriented design stress the separation of concerns in the software.,5,"https://doi.org/10.1037/0021-9010.69.1.167,https://doi.org/10.1037/0021-9010.92.6.1741,https://doi.org/10.1037/apl0000303"
Short-term memory,OpenAlex,"Short-term memory  (or ""primary"" or ""active memory"") is the capacity for holding a small amount of information in an active, readily available state for a short interval. For example, short-term memory holds a phone number that has just been recited.",5,"https://doi.org/10.1037/0021-9010.65.1.111,https://doi.org/10.1037//0021-9010.65.1.111,https://doi.org/10.1037/h0023856"
Sleep loss,OpenAlex,"Sleep deprivation, also known as sleep insufficiency or sleeplessness, is the condition of not having adequate duration or quality of sleep to support proper alertness, performance, and health. It can be either chronic or acute and may vary widely in severity.",5,"https://doi.org/10.1037//0021-9010.62.5.567,https://doi.org/10.1037/0021-9010.62.5.567,https://doi.org/10.1037/h0047983"
Smooth pursuit,OpenAlex,"In the scientific study of vision, smooth pursuit describes a type of eye movement in which the eyes remain fixated on a moving object. It is one of two ways that visual animals can voluntarily shift gaze, the other being saccadic eye movements.",5,"https://doi.org/10.1037/h0042195,https://doi.org/10.1037/0021-9010.68.4.565,https://doi.org/10.1037/h0048214"
Social power,OpenAlex,"In political science, power is the ability to influence or direct the actions, beliefs, or conduct of actors. Power does not exclusively refer to the threat or use of force (coercion) by one actor against another, but may also be exerted through diffuse means (such as institutions).",5,"https://doi.org/10.1037/0021-9010.74.4.561,https://doi.org/10.5465/amj.2011.0891,https://doi.org/10.1037/0021-9010.65.2.176"
